2025-05-24 19:40:08,872 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:09,169 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:09,842 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:10,126 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:10,803 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:11,086 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:11,618 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:11,905 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:12,428 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:12,705 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:13,231 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:13,647 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:14,188 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:14,468 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:15,289 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:15,568 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:16,400 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:16,690 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:17,254 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:17,646 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:18,197 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:18,605 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:19,152 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:19,429 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:20,250 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:20,526 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:21,309 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:21,646 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:22,480 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:22,762 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:23,277 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:23,574 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:24,373 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:24,685 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:25,474 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:25,808 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:26,583 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:26,931 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:27,764 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:28,049 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:28,886 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:29,168 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:29,957 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:30,288 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:31,088 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:31,403 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:31,936 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:32,212 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:33,043 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:33,326 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:34,164 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:34,452 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:35,285 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:36,319 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:37,201 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:37,486 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:38,008 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:38,289 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:38,813 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:39,092 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:39,617 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:39,904 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:40,424 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:40,705 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:41,238 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:41,543 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:42,484 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:42,768 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:43,293 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:43,575 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:44,403 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:44,688 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:45,198 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:45,486 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:46,327 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:46,608 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:47,284 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:47,578 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:48,120 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:48,527 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:49,061 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:49,341 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:49,905 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:50,288 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:51,120 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:51,405 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:51,921 - VPA - ERROR - Error analyzing timeframe 1d: unsupported operand type(s) for +=: 'NoneType' and 'str'
2025-05-24 19:40:51,922 - VPA - ERROR - Exception details:
Traceback (most recent call last):
  File "C:\Users\Aspire5 15 i7 4G2050\vpa_modular_package\vpa_modular\vpa_analyzer.py", line 898, in analyze_all
    trend_analysis = self.trend_analyzer.analyze_trend(processed_data, current_idx)
                     ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\Aspire5 15 i7 4G2050\vpa_modular_package\vpa_modular\vpa_analyzer.py", line 249, in analyze_trend
    result["details"] += "; Multiple high volume bars in uptrend may indicate buying climax"
TypeError: unsupported operand type(s) for +=: 'NoneType' and 'str'
2025-05-24 19:40:51,932 - VPA - ERROR - Detailed error information:
Traceback (most recent call last):
  File "C:\Users\Aspire5 15 i7 4G2050\vpa_modular_package\vpa_modular\vpa_facade.py", line 205, in analyze_ticker_at_point
    pattern_summary = signals[primary_tf_key_for_pit].get("pattern_summary", "")
                      ~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^
KeyError: '1d'
2025-05-24 19:40:51,932 - VPA - WARNING - No analysis results for AAPL at 2024-06-17 08:00:00
2025-05-24 19:40:51,933 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:52,218 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:52,720 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
2025-05-24 19:40:53,005 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1h
2025-05-24 19:40:53,541 - VPA - INFO - Processing AAPL data for point-in-time analysis, timeframe 1d
