Date,adj close,close,high,low,open,volume
2025-01-23 14:30:00+00:00,234.08999633789062,234.08999633789062,234.1300048828125,231.50999450683594,234.0,3406320
2025-01-23 14:45:00+00:00,233.17999267578125,233.17999267578125,234.1999969482422,232.88999938964844,234.11000061035156,1332606
2025-01-23 15:00:00+00:00,233.7050018310547,233.7050018310547,233.83999633789062,233.07000732421875,233.19000244140625,763504
2025-01-23 15:15:00+00:00,234.2899932861328,234.2899932861328,234.2899932861328,233.63999938964844,233.70899963378906,809065
2025-01-23 15:30:00+00:00,234.24159240722656,234.24159240722656,235.07000732421875,234.07000732421875,234.2899932861328,1031354
2025-01-23 15:45:00+00:00,234.27999877929688,234.27999877929688,234.4698944091797,234.07000732421875,234.23500061035156,705198
2025-01-23 16:00:00+00:00,234.22000122070312,234.22000122070312,234.39999389648438,233.64999389648438,234.3000030517578,756238
2025-01-23 16:15:00+00:00,234.4199981689453,234.4199981689453,234.49000549316406,233.77000427246094,234.22999572753906,1148350
2025-01-23 16:30:00+00:00,234.4499053955078,234.4499053955078,234.67999267578125,234.22500610351562,234.39999389648438,501641
2025-01-23 16:45:00+00:00,233.92999267578125,233.92999267578125,234.67010498046875,233.89999389648438,234.4499969482422,528847
2025-01-23 17:00:00+00:00,233.65499877929688,233.65499877929688,233.92999267578125,233.368896484375,233.92999267578125,539761
2025-01-23 17:15:00+00:00,233.2550048828125,233.2550048828125,233.7899932861328,233.1300048828125,233.64999389648438,602679
2025-01-23 17:30:00+00:00,233.2449951171875,233.2449951171875,233.3800048828125,233.14999389648438,233.2550048828125,487616
2025-01-23 17:45:00+00:00,233.52999877929688,233.52999877929688,233.5800018310547,233.1999969482422,233.24000549316406,439788
2025-01-23 18:00:00+00:00,233.4499969482422,233.4499969482422,233.59500122070312,233.32000732421875,233.51499938964844,362839
2025-01-23 18:15:00+00:00,233.61500549316406,233.61500549316406,233.8699951171875,233.4499969482422,233.4499969482422,468147
2025-01-23 18:30:00+00:00,233.61000061035156,233.61000061035156,234.02000427246094,233.52999877929688,233.6199951171875,515594
2025-01-23 18:45:00+00:00,233.7449951171875,233.7449951171875,233.9199981689453,233.60499572753906,233.62840270996094,586087
2025-01-23 19:00:00+00:00,233.3863983154297,233.3863983154297,233.77499389648438,233.25,233.74000549316406,530771
2025-01-23 19:15:00+00:00,233.5500030517578,233.5500030517578,233.6112060546875,233.25,233.38499450683594,432528
2025-01-23 19:30:00+00:00,233.82000732421875,233.82000732421875,233.83999633789062,233.55499267578125,233.57000732421875,432948
